Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,5.0,,-123.858
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3.0,,-3.816
CA-2014-105893,11-11-2014,11/18/2014,Standard Class,PK-19075,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6.0,,13.3176
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2.0,,9.99
CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,,2.4824
CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.0,,16.011
CA-2014-143336,8/27/2014,09-01-2014,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,,7.384
CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,,5.0596
CA-2016-137330,12-09-2016,12/13/2016,Standard Class,KB-16585,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,,15.6884
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,2.0,,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.0,,240.2649
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,,4.2224
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.0,,11.7741
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.0,,-1665.0522
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2.0,,-7.0532
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,3.791417371570043,,15.525
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,,1.1016
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,3.791417371570043,,9.7092
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6.0,,-5.715
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,,Art,Lumber Crayons,,3.791417371570043,,3.546
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,,9.9468
CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Corporate,Richardson,Texas,Central,TEC-PH-10004977,,Phones,GE 30524EE4,,3.791417371570043,,123.4737
CA-2016-117590,12-08-2016,12-10-2016,First Class,GH-14485,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,5.0,,-147.963
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.0,,35.415
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3.0,,-46.9764
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,Houston,Texas,Central,FUR-CH-10004218,,Chairs,"Global Fabric Manager's Chair, Dark Gray",,3.791417371570043,,-15.147
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,,41.7564
CA-2017-120999,09-10-2017,9/15/2017,Standard Class,LC-16930,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4.0,,16.5564
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,,3.894
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,,9.5616
CA-2016-118255,03-11-2016,3/13/2016,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,,19.7714
CA-2016-118255,03-11-2016,3/13/2016,First Class,ON-18715,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,,8.2062
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,,8.4784
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,3.0,,4.95
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,,6.104
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.0,,17.9634
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,,6.0,,35.3346
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.0,,2.9568
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.0,,17.0981
CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,,6.2566
CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,0.0,298.6855
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,,15.552
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,,7.098
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,,6.9888
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2.0,,3.3
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,,0.84
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.0,,6.1512
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,,9.3612
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.0,0.0,68.9631
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,,22.3328
US-2015-164175,4/30/2015,05-05-2015,Standard Class,PS-18970,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5.0,,-15.2225
CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8.0,,111.3024
CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4.0,,62.988
CA-2016-119823,06-04-2016,06-06-2016,First Class,KD-16270,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,,35.6636
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.0,,1.731
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.0,,8.763
US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8.0,,-114.3912
US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.0,,1.213
US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1.0,0.2,-18.196
US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3.0,,-1.9344
US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Corporate,Houston,Texas,Central,FUR-FU-10000260,,Furnishings,"6"" Cubicle Wall Clock, Black",,3.0,,-5.8248
US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.0,0.2,2.724
US-2014-147606,11/26/2014,12-01-2014,Second Class,JE-15745,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.0,,-14.475
CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,,56.2032
CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770,Corporate,Decatur,Alabama,South,OFF-BI-10002309,,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,,3.791417371570043,,8.0352
CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5.0,,4.172
CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.0,,6.2031
CA-2015-149734,09-03-2015,09-08-2015,Standard Class,JC-16105,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7.0,,62.8075
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,,33.2156
CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.0,,6.7966
CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.0,,2.9568
CA-2016-159695,04-05-2016,04-10-2016,Second Class,GM-14455,Home Office,Houston,Texas,Central,OFF-ST-10003442,,Storage,Eldon Portable Mobile Manager,,3.791417371570043,,13.8572
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3.0,,6.633
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2.0,,8.2782
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.0,,3.1104
CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,,Paper,Xerox 1999,,3.791417371570043,,6.2208
CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3.0,,16.5354
CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.0,0.0,16.1504
US-2017-109484,11-06-2017,11-12-2017,Standard Class,RB-19705,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1.0,,-3.788
CA-2017-161018,11-09-2017,11-11-2017,Second Class,PN-18775,Home Office,New York City,New York,East,FUR-FU-10000629,,Furnishings,9-3/4 Diameter Round Wall Clock,,3.791417371570043,,40.5426
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3.0,,17.9592
CA-2016-149223,09-06-2016,09-11-2016,Standard Class,ER-13855,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.0,0.0,22.5852
CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7.0,,22.6184
CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3.0,,-10.7973
CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,,Binders,Avery Hidden Tab Dividers for Binding Systems,,3.0,,-3.0396
CA-2016-129903,12-01-2016,12-04-2016,Second Class,GZ-14470,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.0,,11.7208
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,,6.0,,-26.8758
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3.0,,-3.8385
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3.0,,-25.8174
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-AC-10003499,,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,3.791417371570043,,17.6016
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,TEC-PH-10002844,,Phones,Speck Products Candyshell Flip Case,,3.791417371570043,,2.0994
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,Charlotte,North Carolina,South,OFF-AR-10000390,,Art,Newell Chalk Holder,,1.0,,1.0738
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Home Office,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5.0,,67.992
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Corporate,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2.0,,10.9096
CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.0,,22.788
CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,Consumer,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6.0,,13.3476
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14.0,,14.5348
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2.0,,1.652
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3.0,,7.4925
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,Columbus,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6.0,,44.0316
CA-2015-110457,03-02-2015,03-06-2015,Standard Class,DK-13090,Consumer,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3.0,0.0,165.3813
US-2015-136476,04-05-2015,04-10-2015,Standard Class,GG-14650,Corporate,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1.0,,-115.7156
CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,,Furnishings,Artistic Insta-Plaque,,3.791417371570043,,18.3456
CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4.0,,13.878
CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6.0,,63.4368
CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,Consumer,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9.0,,51.759
CA-2016-103730,06-12-2016,6/15/2016,First Class,SC-20725,Consumer,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7.0,,19.7316
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Home Office,Houston,Texas,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3.0,,-8.5794
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,Consumer,Bloomington,Illinois,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6.0,0.5,-407.682
